time,left,right
35,1,1
35.005,1,1
35.01,1,1
35.015,1,1
35.02,1,1
35.025,1,1
35.03,1,1
35.035,1,1
35.04,1,1
35.045,1,1
35.05,1,1
35.055,1,1
35.06,1,1
35.065,1,1
35.07,1,1
35.075,1,1
35.08,1,1
35.085,1,1
35.09,1,1
35.095,1,1
35.1,1,1
35.105,1,1
35.11,1,1
35.115,1,1
35.12,1,1
35.125,1,1
35.13,1,1
35.135,1,1
35.14,1,1
35.145,1,1
35.15,1,1
35.155,1,1
35.16,1,1
35.165,1,1
35.17,1,1
35.175,1,1
35.18,1,1
35.185,1,1
35.19,1,1
35.195,1,1
35.2,1,1
35.205,1,1
35.21,1,1
35.215,1,1
35.22,1,1
35.225,1,1
35.23,1,1
35.235,1,1
35.24,1,1
35.245,1,1
35.25,1,1
35.255,1,1
35.26,1,1
35.265,1,1
35.27,1,1
35.275,1,1
35.28,1,1
35.285,1,1
35.29,1,1
35.295,1,1
35.3,1,1
35.305,1,1
35.31,1,1
35.315,1,1
35.32,1,1
35.325,1,1
35.33,1,1
35.335,1,1
35.34,1,1
35.345,1,1
35.35,1,1
35.355,1,1
35.36,1,1
35.365,1,1
35.37,1,1
35.375,1,1
35.38,1,1
35.385,1,1
35.39,1,1
35.395,1,1
35.4,1,1
35.405,1,1
35.41,1,1
35.415,1,1
35.42,1,1
35.425,1,1
35.43,1,1
35.435,1,1
35.44,1,1
35.445,1,1
35.45,1,1
35.455,1,1
35.46,1,1
35.465,1,1
35.47,1,1
35.475,1,1
35.48,1,1
35.485,1,1
35.49,1,1
35.495,1,1
35.5,1,1
35.505,1,1
35.51,1,1
35.515,1,1
35.52,1,1
35.525,1,1
35.53,1,1
35.535,1,1
35.54,1,1
35.545,1,1
35.55,1,1
35.555,1,1
35.56,1,1
35.565,1,1
35.57,1,1
35.575,1,1
35.58,1,1
35.585,1,1
35.59,1,1
35.595,1,1
35.6,1,1
35.605,1,1
35.61,1,1
35.615,1,1
35.62,1,1
35.625,1,1
35.63,1,1
35.635,1,1
35.64,1,1
35.645,1,1
35.65,1,1
35.655,1,1
35.66,1,1
35.665,1,1
35.67,1,1
35.675,1,1
35.68,1,1
35.685,1,1
35.69,1,1
35.695,1,1
35.7,1,1
35.705,1,1
35.71,1,1
35.715,1,1
35.72,1,1
35.725,1,1
35.73,1,1
35.735,1,1
35.74,1,1
35.745,1,1
35.75,1,1
35.755,1,1
35.76,1,1
35.765,1,1
35.77,1,1
35.775,1,1
35.78,1,1
35.785,1,1
35.79,1,1
35.795,1,1
35.8,1,1
35.805,1,1
35.81,1,1
35.815,1,1
35.82,1,1
35.825,1,1
35.83,1,1
35.835,1,1
35.84,1,1
35.845,1,1
35.85,1,1
35.855,1,1
35.86,1,1
35.865,1,1
35.87,1,1
35.875,1,1
35.88,1,1
35.885,1,1
35.89,1,1
35.895,1,1
35.9,1,1
35.905,1,1
35.91,1,1
35.915,1,1
35.92,1,1
35.925,1,1
35.93,1,1
35.935,1,1
35.94,1,1
35.945,1,1
35.95,1,1
35.955,1,1
35.96,1,1
35.965,1,1
35.97,1,1
35.975,1,1
35.98,1,1
35.985,1,1
35.99,1,1
35.995,1,1
36,1,1
36.005,1,1
36.01,1,1
36.015,1,1
36.02,1,1
36.025,1,1
36.03,1,1
36.035,1,1
36.04,1,1
36.045,1,1
36.05,1,1
36.055,1,1
36.06,1,1
36.065,1,1
36.07,1,1
36.075,1,1
36.08,1,1
36.085,1,1
36.09,1,1
36.095,1,1
36.1,1,1
36.105,1,1
36.11,1,1
36.115,1,1
36.12,1,1
36.125,1,1
36.13,1,1
36.135,1,1
36.14,1,1
36.145,1,1
36.15,1,1
36.155,1,1
36.16,1,1
36.165,1,1
36.17,1,1
36.175,1,1
36.18,1,1
36.185,1,1
36.19,1,1
36.195,1,1
36.2,1,1
36.205,1,1
36.21,1,1
36.215,1,1
36.22,1,1
36.225,1,1
36.23,1,1
36.235,1,1
36.24,1,1
36.245,1,1
36.25,1,1
36.255,1,1
36.26,1,1
36.265,1,1
36.27,1,1
36.275,1,1
36.28,1,1
36.285,1,1
36.29,1,1
36.295,1,1
36.3,1,1
36.305,1,1
36.31,1,1
36.315,1,1
36.32,1,1
36.325,1,1
36.33,1,1
36.335,1,1
36.34,1,1
36.345,1,1
36.35,1,1
36.355,1,1
36.36,1,1
36.365,1,1
36.37,1,1
36.375,1,1
36.38,1,1
36.385,1,1
36.39,1,1
36.395,1,1
36.4,1,1
36.405,1,1
36.41,1,1
36.415,1,1
36.42,1,1
36.425,1,1
36.43,1,1
36.435,1,1
36.44,1,1
36.445,1,1
36.45,1,1
36.455,1,1
36.46,1,1
36.465,1,1
36.47,1,1
36.475,1,1
36.48,1,1
36.485,1,1
36.49,1,1
36.495,1,1
36.5,1,1
36.505,1,1
36.51,1,1
36.515,1,1
36.52,1,1
36.525,1,1
36.53,1,1
36.535,1,1
36.54,1,1
36.545,1,1
36.55,1,1
36.555,1,1
36.56,1,1
36.565,1,1
36.57,1,1
36.575,1,1
36.58,1,1
36.585,1,1
36.59,1,1
36.595,1,1
36.6,1,1
36.605,1,1
36.61,1,1
36.615,1,1
36.62,1,1
36.625,1,1
36.63,1,1
36.635,1,1
36.64,1,1
36.645,1,1
36.65,1,1
36.655,1,1
36.66,1,1
36.665,1,1
36.67,1,1
36.675,1,1
36.68,1,1
36.685,1,1
36.69,1,1
36.695,1,1
36.7,1,1
36.705,1,1
36.71,1,1
36.715,1,1
36.72,1,1
36.725,1,1
36.73,1,1
36.735,1,1
36.74,1,1
36.745,1,1
36.75,1,1
36.755,1,1
36.76,1,1
36.765,1,1
36.77,1,1
36.775,1,1
36.78,1,1
36.785,1,1
36.79,1,1
36.795,1,1
36.8,1,1
36.805,1,1
36.81,1,1
36.815,1,1
36.82,1,1
36.825,1,1
36.83,1,1
36.835,1,1
36.84,1,1
36.845,1,1
36.85,1,1
36.855,1,1
36.86,1,1
36.865,1,1
36.87,1,1
36.875,1,1
36.88,1,1
36.885,1,1
36.89,1,1
36.895,1,1
36.9,1,1
36.905,1,1
36.91,1,1
36.915,1,1
36.92,1,1
36.925,1,1
36.93,1,1
36.935,1,1
36.94,1,1
36.945,1,1
36.95,1,1
36.955,1,1
36.96,1,1
36.965,1,1
36.97,1,1
36.975,1,1
36.98,1,1
36.985,1,1
36.99,1,1
36.995,1,1
37,1,1
37.005,1,1
37.01,1,1
37.015,1,1
37.02,1,1
37.025,1,1
37.03,1,1
37.035,1,1
37.04,1,1
37.045,1,1
37.05,1,1
37.055,1,1
37.06,1,1
37.065,1,1
37.07,1,1
37.075,1,1
37.08,1,1
37.085,1,1
37.09,1,1
37.095,1,1
37.1,1,1
37.105,1,1
37.11,1,1
37.115,1,1
37.12,1,1
37.125,1,1
37.13,1,1
37.135,1,1
37.14,1,1
37.145,1,1
37.15,1,1
37.155,1,1
37.16,1,1
37.165,1,1
37.17,1,1
37.175,1,1
37.18,1,1
37.185,1,1
37.19,1,1
37.195,1,1
37.2,1,1
37.205,1,1
37.21,1,1
37.215,1,1
37.22,1,1
37.225,1,1
37.23,1,1
37.235,1,1
37.24,1,1
37.245,1,1
37.25,1,1
37.255,1,1
37.26,1,1
37.265,1,1
37.27,1,1
37.275,1,1
37.28,1,1
37.285,1,1
37.29,1,1
37.295,1,1
37.3,1,1
37.305,1,1
37.31,1,1
37.315,1,1
37.32,1,1
37.325,1,1
37.33,1,1
37.335,1,1
37.34,1,1
37.345,1,1
37.35,1,1
37.355,1,1
37.36,1,1
37.365,1,1
37.37,1,1
37.375,1,1
37.38,1,1
37.385,1,1
37.39,1,1
37.395,1,1
37.4,1,1
37.405,1,1
37.41,1,1
37.415,1,1
37.42,1,1
37.425,1,1
37.43,1,1
37.435,1,1
37.44,1,1
37.445,1,1
37.45,1,1
37.455,1,1
37.46,1,1
37.465,1,1
37.47,1,1
37.475,1,1
37.48,1,1
37.485,1,1
37.49,1,1
37.495,1,1
37.5,1,1
37.505,1,1
37.51,1,1
37.515,1,1
37.52,1,1
37.525,1,1
37.53,1,1
37.535,1,1
37.54,1,1
37.545,1,1
37.55,1,1
37.555,1,1
