time,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l
35,-3.95861585,6.72026462,1.02519933,-1.53537656,8.99535018,12.13799485,30.72172305,-11.22924807,-4.49558434,-33.17622714,-1.92235083,4.23868013
35.005,-4.45812441,6.85310294,1.10024355,-1.2836997,9.18555289,12.31372292,30.62159235,-11.39045348,-4.59409037,-31.15537692,-1.69730917,4.62370738
35.01,-4.9221616,6.97778536,1.20436225,-1.04523158,9.35643759,12.48554075,30.52580818,-11.54578651,-4.67828777,-29.10980268,-1.46661236,4.95228262
35.015,-5.42303301,7.12705572,1.2646479,-0.80978626,9.57604159,12.6852176,30.38857908,-11.71540132,-4.72406165,-27.06597653,-1.28469583,5.36745047
35.02,-5.89090576,7.27430341,1.33041419,-0.58837215,9.77393988,12.89282556,30.26188414,-11.88356719,-4.75229041,-25.02151986,-1.09575371,5.70921271
35.025,-6.36819661,7.43080901,1.35453673,-0.36942178,10.00096863,13.12083209,30.11914039,-12.05356821,-4.7508801,-22.99162116,-0.93904952,6.06174148
35.03,-6.82168542,7.58298619,1.40316638,-0.17354174,10.23102379,13.35977529,29.97873142,-12.22362918,-4.72841055,-20.98348019,-0.80567844,6.36314395
35.035,-7.26170002,7.74069773,1.45072698,0.00054465,10.47389744,13.60932666,29.83813601,-12.40251361,-4.68223877,-19.01444563,-0.70384196,6.62808426
35.04,-7.69297703,7.89660739,1.49200414,0.15351502,10.72816293,13.88165154,29.69530586,-12.58142833,-4.61131576,-17.09644179,-0.62339849,6.86048718
35.045,-8.06127045,8.08644228,1.57257064,0.25955194,10.97923561,14.06238669,29.60646323,-12.79713759,-4.49884896,-15.25799736,-0.60795872,7.018234
35.05,-8.51471681,8.21043557,1.57564899,0.38668856,11.28448197,14.44837118,29.42684934,-12.95908534,-4.42993068,-13.47818255,-0.54606447,7.19301103
35.055,-8.90651104,8.36124371,1.60492518,0.46047855,11.59044016,14.76292153,29.30229238,-13.14902097,-4.3200813,-11.80394829,-0.536128,7.30418671
