time,RForceX,RForceY_Vertical,RForceZ,RCOPX,RCOPY_Vertical,RCOPZ,LForceX,LForceY_Vertical,LForceZ,LCOPX,LCOPY_Vertical,LCOPZ
35,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.005,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.01,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.015,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.02,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.025,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.03,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.035,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.04,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.045,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.05,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.055,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.06,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.065,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.07,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.075,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.08,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.085,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.09,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.095,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.1,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.105,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.11,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.115,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.12,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.125,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.13,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.135,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.14,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.145,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.15,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0
35.155,NaN,NaN,NaN,NaN,NaN,NaN,30.23856,63.10502,-30.2122,0.4988818,0,-1.251726
35.16,NaN,NaN,NaN,NaN,NaN,NaN,28.56086,89.38439,-39.06508,0.4846712,0,-1.246991
35.165,NaN,NaN,NaN,NaN,NaN,NaN,27.27688,115.6754,-44.2356,0.476965,0,-1.241832
35.17,NaN,NaN,NaN,NaN,NaN,NaN,26.60291,139.8532,-43.94952,0.4726235,0,-1.237253
35.175,NaN,NaN,NaN,NaN,NaN,NaN,26.6131,160.9357,-37.57394,0.4700863,0,-1.233891
35.18,NaN,NaN,NaN,NaN,NaN,NaN,27.23562,179.3522,-25.78554,0.4683915,0,-1.232219
35.185,NaN,NaN,NaN,NaN,NaN,NaN,28.30353,196.668,-10.33619,0.4668632,0,-1.232442
35.19,NaN,NaN,NaN,NaN,NaN,NaN,29.64753,214.8886,6.473089,0.4650748,0,-1.234278
35.195,NaN,NaN,NaN,NaN,NaN,NaN,31.19302,235.6447,22.41135,0.4628941,0,-1.236915
35.2,NaN,NaN,NaN,NaN,NaN,NaN,33.00519,259.5859,35.83567,0.4604564,0,-1.239288
35.205,NaN,NaN,NaN,NaN,NaN,NaN,35.24364,286.1807,45.97887,0.4580259,0,-1.240535
35.21,NaN,NaN,NaN,NaN,NaN,NaN,38.0447,313.9444,52.95832,0.4558348,0,-1.240273
35.215,NaN,NaN,NaN,NaN,NaN,NaN,41.40314,340.9553,57.54068,0.4539956,0,-1.238574
35.22,NaN,NaN,NaN,NaN,NaN,NaN,45.12952,365.445,60.77182,0.4525008,0,-1.235785
35.225,NaN,NaN,NaN,NaN,NaN,NaN,48.90904,386.2613,63.61622,0.4512689,0,-1.232337
35.23,NaN,NaN,NaN,NaN,NaN,NaN,52.42448,403.0827,66.72214,0.450196,0,-1.22863
35.235,NaN,NaN,NaN,NaN,NaN,NaN,55.47551,416.3724,70.35213,0.4491944,0,-1.224973
35.24,NaN,NaN,NaN,NaN,NaN,NaN,58.03979,427.1463,74.44569,0.4482098,0,-1.221549
35.245,NaN,NaN,NaN,NaN,NaN,NaN,60.25783,436.6674,78.75265,0.4472206,0,-1.218414
35.25,NaN,NaN,NaN,NaN,NaN,NaN,62.35822,446.1547,82.9798,0.4462271,0,-1.215524
35.255,NaN,NaN,NaN,NaN,NaN,NaN,64.55958,456.5617,86.90177,0.4452437,0,-1.212786
35.26,NaN,NaN,NaN,NaN,NaN,NaN,66.9858,468.4469,90.40769,0.4442953,0,-1.210103
35.265,NaN,NaN,NaN,NaN,NaN,NaN,69.61871,481.9411,93.48781,0.4434125,0,-1.207409
35.27,NaN,NaN,NaN,NaN,NaN,NaN,72.29809,496.8005,96.18683,0.442626,0,-1.204668
35.275,NaN,NaN,NaN,NaN,NaN,NaN,74.77006,512.5241,98.55296,0.4419584,0,-1.20186
35.28,NaN,NaN,NaN,NaN,NaN,NaN,76.77457,528.5059,100.6042,0.4414219,0,-1.198964
35.285,NaN,NaN,NaN,NaN,NaN,NaN,78.14544,544.1784,102.3205,0.4410194,0,-1.195936
35.29,NaN,NaN,NaN,NaN,NaN,NaN,78.87943,559.1151,103.6555,0.4407489,0,-1.192722
35.295,NaN,NaN,NaN,NaN,NaN,NaN,79.13504,573.0697,104.5579,0.4406029,0,-1.189272
35.3,NaN,NaN,NaN,NaN,NaN,NaN,79.158,585.9529,104.9922,0.4405653,0,-1.185565
35.305,NaN,NaN,NaN,NaN,NaN,NaN,79.17773,597.7652,104.9539,0.4406101,0,-1.181615
35.31,NaN,NaN,NaN,NaN,NaN,NaN,79.33527,608.5218,104.4731,0.440704,0,-1.177469
35.315,NaN,NaN,NaN,NaN,NaN,NaN,79.67338,618.1961,103.6053,0.4408138,0,-1.173187
35.32,NaN,NaN,NaN,NaN,NaN,NaN,80.17263,626.6944,102.4133,0.4409128,0,-1.168825
35.325,NaN,NaN,NaN,NaN,NaN,NaN,80.79443,633.8614,100.9523,0.4409837,0,-1.164425
