time,RCOP_AP,RCOP_ML,LCOP_AP,LCOP_ML,RVerticalF,RShearF_AP,RShearF_ML,LVerticalF,LShearF_AP,LShearF_ML
35,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.005,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.01,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.015,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.02,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.025,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.03,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.035,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.04,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.045,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.05,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.055,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.06,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.065,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.07,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.075,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.08,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.085,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.09,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.095,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.1,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.105,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.11,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.115,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.12,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.125,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.13,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.135,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.14,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.145,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.15,NaN,NaN,0,0,NaN,NaN,NaN,0,0,0
35.155,NaN,NaN,-0.0136813547813164,0.0567348886528936,NaN,NaN,NaN,50.1225068613151,49.056079329473,29.8433656894103
35.16,NaN,NaN,-0.0140683237899977,0.0417777686269108,NaN,NaN,NaN,73.5022263484309,64.3717351676463,28.0191864326668
35.165,NaN,NaN,-0.0143673280249139,0.0333776013028623,NaN,NaN,NaN,98.5006973673667,75.2967261214959,26.638887149828
35.17,NaN,NaN,-0.0137363065363487,0.0283774505901755,NaN,NaN,NaN,123.327189630004,79.4624658426689,25.9675470367578
35.175,NaN,NaN,-0.011632421381734,0.0252053472070035,NaN,NaN,NaN,146.827990314421,76.0255455357464,26.1154222528391
35.18,NaN,NaN,-0.00764761272193915,0.0228872636915267,NaN,NaN,NaN,168.851339896625,65.8256638044983,27.0202093723847
35.185,NaN,NaN,-0.0016236287818634,0.0207387931759526,NaN,NaN,NaN,190.194424054568,50.9968021500438,28.4892275640688
35.19,NaN,NaN,0.00612606803411153,0.0183389713729825,NaN,NaN,NaN,212.152375831411,34.2297614437868,30.2932366519656
35.195,NaN,NaN,0.0147691898042743,0.0155820366307624,NaN,NaN,NaN,235.877827835121,17.9889461601386,32.2760886023329
35.2,NaN,NaN,0.0232248852959949,0.0126447675822363,NaN,NaN,NaN,261.835842195822,3.9420085182544,34.4213538452714
35.205,NaN,NaN,0.0306125406768298,0.00983087455741832,NaN,NaN,NaN,289.562051170711,-7.27201106101525,36.8306947579812
35.21,NaN,NaN,0.0365263632606336,0.00739538994825184,NaN,NaN,NaN,317.787710167763,-15.9383941565377,39.6233265225578
35.215,NaN,NaN,0.0410139372672711,0.00545296247670701,NaN,NaN,NaN,344.842670727232,-22.9247232014246,42.8212093087006
35.22,NaN,NaN,0.0443992634011885,0.00398166540365275,NaN,NaN,NaN,369.162520517463,-29.2532606872445,46.294879748199
35.225,NaN,NaN,0.0470938021701319,0.00287620820515577,NaN,NaN,NaN,389.7168667779,-35.742317484175,49.8012048867999
35.23,NaN,NaN,0.0494824501855049,0.00200526689250408,NaN,NaN,NaN,406.232195258879,-42.8163037147185,53.0848451076264
35.235,NaN,NaN,0.0518640835253852,0.00125438294220531,NaN,NaN,NaN,419.1765328769,-50.4956285828063,55.9835303137039
35.24,NaN,NaN,0.0544166204777752,0.000546894740520387,NaN,NaN,NaN,429.558962028063,-58.5086166751494,58.4857205020451
35.245,NaN,NaN,0.0571955391414787,-0.000154781362871281,NaN,NaN,NaN,438.643915500812,-66.4517232463695,60.7213969931192
35.25,NaN,NaN,0.0601599997854745,-0.000859995639681754,NaN,NaN,NaN,447.665799668375,-73.9410290473106,62.8988646351971
35.255,NaN,NaN,0.0632231465249713,-0.00155991575911529,NaN,NaN,NaN,457.602837713386,-80.7130078213536,65.2188330996956
35.26,NaN,NaN,0.0662966123314896,-0.00223370110752891,NaN,NaN,NaN,469.038995057472,-86.6545635130498,67.7978883906129
35.265,NaN,NaN,0.069324826274989,-0.002855666336461,NaN,NaN,NaN,482.124392434285,-91.7733261115,70.6235520501049
35.27,NaN,NaN,0.0722832266379005,-0.00340092687785132,NaN,NaN,NaN,496.625746890775,-96.1389083001762,73.5515786328044
35.275,NaN,NaN,0.0751632593704077,-0.00385264773138588,NaN,NaN,NaN,512.044982467587,-99.8249084731817,76.348703041142
35.28,NaN,NaN,0.077954821258581,-0.00420310929918588,NaN,NaN,NaN,527.774616509799,-102.871833444506,78.7741457766123
35.285,NaN,NaN,0.0806240309560531,-0.00445101249980362,NaN,NaN,NaN,543.244269088495,-105.277981599019,80.6754995803972
35.29,NaN,NaN,0.0831261795231883,-0.00459805086657367,NaN,NaN,NaN,558.024528875511,-107.011759494456,82.0562655045272
35.295,NaN,NaN,0.0854193781182471,-0.00465061167923664,NaN,NaN,NaN,571.865570202555,-108.036136624833,83.07558526058
35.3,NaN,NaN,0.087489066372932,-0.00462473944172631,NaN,NaN,NaN,584.672371266808,-108.33463008309,83.9760575715351
35.305,NaN,NaN,0.0893537797634187,-0.00454787500004944,NaN,NaN,NaN,596.436443513916,-107.931406255568,84.9826380878467
35.31,NaN,NaN,0.0910632830983316,-0.00445606944054688,NaN,NaN,NaN,607.161190608865,-106.896557949386,86.231718536868
35.315,NaN,NaN,0.0926791164573482,-0.00438515591112004,NaN,NaN,NaN,616.807147618644,-105.334420035924,87.760619449571
35.32,NaN,NaN,0.0942580559250108,-0.00436322023683589,NaN,NaN,NaN,625.268621911746,-103.360609042097,89.5418369277674
35.325,NaN,NaN,0.0958423052591446,-0.00440715111252044,NaN,NaN,NaN,632.380408850972,-101.082577090249,91.5243809842275
35.33,NaN,NaN,0.0974594566659588,-0.0045231270378594,NaN,NaN,NaN,637.947699122045,-98.5908623952606,93.6559664685561
35.335,NaN,NaN,0.0991263190472125,-0.00470977746526396,NaN,NaN,NaN,641.789011781888,-95.957484766245,95.8839055247325
35.34,NaN,NaN,0.100851849456046,-0.00496046716914295,NaN,NaN,NaN,643.781714994083,-93.234012738596,98.1461086473496
35.345,NaN,NaN,0.102636231115789,-0.00526381768547723,NaN,NaN,NaN,643.896054115301,-90.4518664853931,100.364731574081
35.35,NaN,NaN,0.104473039520032,-0.00560340501991341,NaN,NaN,NaN,642.202153243479,-87.6298099184199,102.449141266916
35.355,NaN,NaN,0.106346394453346,-0.00595793218663043,NaN,NaN,NaN,638.850160508572,-84.7851392358377,104.308479953151
35.36,NaN,NaN,0.108245942785159,-0.00630522802551392,NaN,NaN,NaN,634.035294430199,-81.9421557974599,105.868037420557
35.365,NaN,NaN,0.110166915924232,-0.00662498543356932,NaN,NaN,NaN,627.962332577557,-79.1330577650216,107.080771634108
35.37,NaN,NaN,0.11211220268635,-0.00690159729004119,NaN,NaN,NaN,620.824639699863,-76.3913546202787,107.930685643927
35.375,NaN,NaN,0.114080436518795,-0.00712650500163176,NaN,NaN,NaN,612.806153128028,-73.7446103500195,108.43040620402
35.38,NaN,NaN,0.116064189331257,-0.00729864112206219,NaN,NaN,NaN,604.097795444645,-71.2095629200236,108.615590136399
35.385,NaN,NaN,0.118036179261946,-0.00742372902415983,NaN,NaN,NaN,594.912599872898,-68.7887006413739,108.536229333609
35.39,NaN,NaN,0.119954565054132,-0.0075117273912087,NaN,NaN,NaN,585.487216698752,-66.4702915442975,108.246379093851
