time,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,knee_angle_r_moment,knee_angle_l_moment,ankle_angle_r_moment,subtalar_angle_r_moment,ankle_angle_l_moment,subtalar_angle_l_moment
35,NaN,NaN,NaN,-0.0575526783619563,-0.0976182850127063,NaN,NaN,-0.118361282640487,NaN,NaN,0.0343821372109281,-0.00713992339834519
35.005,NaN,NaN,NaN,-0.0850640621154474,-0.0844483821114036,NaN,NaN,-0.133642133948282,NaN,NaN,0.0321550981535671,-0.00665678334815035
35.01,NaN,NaN,NaN,-0.112477578172624,-0.0702743525001065,NaN,NaN,-0.14890285030395,NaN,NaN,0.029658356181284,-0.00605691039183516
35.015,NaN,NaN,NaN,-0.139449889546373,-0.0553445520591787,NaN,NaN,-0.164029106685379,NaN,NaN,0.0269014325581863,-0.00534505490691166
35.02,NaN,NaN,NaN,-0.165663960194433,-0.0399359419796861,NaN,NaN,-0.178915761500926,NaN,NaN,0.0238984732401492,-0.00452967433395048
35.025,NaN,NaN,NaN,-0.190839834614127,-0.0243487182474618,NaN,NaN,-0.193470147150945,NaN,NaN,0.020669483348528,-0.00362301507465542
35.03,NaN,NaN,NaN,-0.214744222602767,-0.0089004375130859,NaN,NaN,-0.207614790691939,NaN,NaN,0.0172414423829673,-0.00264110163230489
35.035,NaN,NaN,NaN,-0.237198489015079,0.00608021645586478,NaN,NaN,-0.221289414883466,NaN,NaN,0.0136492335636193,-0.00160362679255357
35.04,NaN,NaN,NaN,-0.258084697677171,0.0202598826182553,NaN,NaN,-0.234452096649363,NaN,NaN,0.00993632547774691,-0.000533737907061132
35.045,NaN,NaN,NaN,-0.277349423886621,0.0333070504695838,NaN,NaN,-0.247079493435806,NaN,NaN,0.00615515114916013,0.00054228408496471
35.05,NaN,NaN,NaN,-0.295005128647974,0.0448985351102272,NaN,NaN,-0.259166086776179,NaN,NaN,0.00236713862786732,0.00159545433253542
